Date,Open,High,Low,Close,Adj Close,Volume
2022-01-19,4110.000000,4110.000000,4080.000000,4100.000000,3769.290283,7662700
2022-01-20,4100.000000,4120.000000,4070.000000,4100.000000,3769.290283,9264200
2022-01-21,4090.000000,4150.000000,4080.000000,4150.000000,3815.257080,15210700
2022-01-24,4130.000000,4140.000000,4080.000000,4080.000000,3750.903320,9762900
2022-01-25,4100.000000,4110.000000,4010.000000,4060.000000,3732.516846,17157500
2022-01-26,4060.000000,4130.000000,4050.000000,4130.000000,3796.870605,11479200
2022-01-27,4120.000000,4120.000000,4050.000000,4060.000000,3732.516846,6277700
2022-01-28,4060.000000,4090.000000,4030.000000,4050.000000,3723.323486,10458800
2022-01-31,4060.000000,4080.000000,4000.000000,4030.000000,3704.936768,19204300
2022-02-02,4030.000000,4060.000000,4010.000000,4050.000000,3723.323486,8369600
2022-02-03,4050.000000,4050.000000,4000.000000,4010.000000,3686.549805,8460100
2022-02-04,4020.000000,4040.000000,3990.000000,4020.000000,3695.743408,14487100
2022-02-07,4020.000000,4050.000000,4000.000000,4000.000000,3677.356445,14546900
2022-02-08,4000.000000,4080.000000,4000.000000,4000.000000,3677.356445,19022800
2022-02-09,4000.000000,4020.000000,3960.000000,3960.000000,3640.583008,20209400
2022-02-10,3960.000000,4040.000000,3960.000000,3980.000000,3658.969482,21580200
2022-02-11,3950.000000,3960.000000,3880.000000,3900.000000,3585.422607,38093800
2022-02-14,3900.000000,3910.000000,3850.000000,3850.000000,3539.455566,27720300
2022-02-15,3860.000000,3880.000000,3850.000000,3870.000000,3557.842529,16340600
2022-02-16,3880.000000,3920.000000,3870.000000,3870.000000,3557.842529,22715500
2022-02-17,3880.000000,3910.000000,3820.000000,3830.000000,3521.068604,28291200
2022-02-18,3840.000000,3900.000000,3840.000000,3850.000000,3539.455566,27431100
2022-02-21,3850.000000,3900.000000,3850.000000,3850.000000,3539.455566,12790900
2022-02-22,3850.000000,3870.000000,3800.000000,3810.000000,3502.681885,28240100
2022-02-23,3810.000000,3860.000000,3800.000000,3820.000000,3511.875244,21559300
2022-02-24,3810.000000,3840.000000,3670.000000,3690.000000,3392.361328,51511000
